"";"study";"msigdb";"random";"event";"cancer";"os";"dfs";"dss";"dmfs";"nGenes";"eventSigs.rdx";"fracSignifGenes.pval";"eventGenes.rdx";"nSamples";"gse";"msigdb.death";"msigdb.relapse";"random.death";"random.relapse";"genes.death";"genes.relapse"
"GSE16432-GPL8650-leukemia";"GSE16432-GPL8650-leukemia";0,128808864265928;0,130229083665339;"os";"leukemia";25;NA;NA;NA;8144;"death";0,0507121807465619;"death";25;"GSE16432-GPL8650";0,128808864265928;NA;0,130229083665339;NA;0,0507121807465619;NA
"GSE1379-breast";"GSE1379-breast";0,110842844600527;0,125567665758401;"dfs";"breast";NA;60;NA;NA;11558;"relapse";0,137047932168195;"relapse";60;"GSE1379";NA;0,110842844600527;NA;0,125567665758401;NA;0,137047932168195
"CESC";"CESC";0,200890963088672;0,122649572649573;"os";"cervical";39;NA;NA;NA;20501;"death";0,13038388371299;"death";39;"CESC";0,200890963088672;NA;0,122649572649573;NA;0,13038388371299;NA
"GSE2658-myeloma";"GSE2658-myeloma";0,227861541728605;0,11968199398367;"dss";"myeloma";NA;NA;559;NA;19944;"death";0,141151579265528;"death";559;"GSE2658";0,227861541728605;NA;0,11968199398367;NA;0,141151579265528;NA
"BRCA";"BRCA";0,0935511243105643;0,113888888888889;"os";"breast";574;NA;NA;NA;20501;"death";0,156772840349251;"death";574;"BRCA";0,0935511243105643;NA;0,113888888888889;NA;0,156772840349251;NA
"GSE1378-breast";"GSE1378-breast";0,0888937664618086;0,107175295186194;"dfs";"breast";NA;60;NA;NA;11558;"relapse";0,0537290188613947;"relapse";60;"GSE1378";NA;0,0888937664618086;NA;0,107175295186194;NA;0,0537290188613947
"GSE16560-prostate";"GSE16560-prostate";0,0707473941006875;0,103070761014686;"os";"prostate";281;NA;NA;NA;6090;"death";0,148275862068966;"death";281;"GSE16560";0,0707473941006875;NA;0,103070761014686;NA;0,148275862068966;NA
"GSE7390-breast";"GSE7390-breast";0,175727739726027;0,097779771249159;"os";"breast";198;198;NA;198;12495;"death";0,0712227912932138;"death";198;"GSE7390";0,175727739726027;NA;0,097779771249159;NA;0,0712227912932138;NA
"GBM";"GBM";0,188375053033517;0,0938034188034188;"os";"glioblastoma";167;NA;NA;NA;20501;"death";0,104043705185113;"death";167;"GBM";0,188375053033517;NA;0,0938034188034188;NA;0,104043705185113;NA
"GSE3143-breast";"GSE3143-breast";0,173226595508117;0,0923982595341694;"os";"breast";158;NA;NA;NA;7114;"death";0,100506044419455;"death";158;"GSE3143";0,173226595508117;NA;0,0923982595341694;NA;0,100506044419455;NA
"GSE19188-nsclc";"GSE19188-nsclc";0,145979206450244;0,0911424903722722;"os";"lung";82;NA;NA;NA;20027;"death";0,0511809057772008;"death";82;"GSE19188";0,145979206450244;NA;0,0911424903722722;NA;0,0511809057772008;NA
"GSE32062-ovary";"GSE32062-ovary";0,0780322307039864;0,0801199657240788;"os";"ovary";260;260;NA;NA;19596;"death";0,0836395182690345;"death";260;"GSE32062";0,0780322307039864;NA;0,0801199657240788;NA;0,0836395182690345;NA
"GSE5327-breast";"GSE5327-breast";0,0918236301369863;0,0769230769230769;"dmfs";"breast";NA;NA;NA;58;12495;"relapse";0,0579385403329065;"relapse";58;"GSE5327";NA;0,0918236301369863;NA;0,0769230769230769;NA;0,0579385403329065
"GSE7696-glioblastoma";"GSE7696-glioblastoma";0,0730516033128053;0,0756338633433605;"os";"brain";80;NA;NA;NA;19851;"death";0,0709284167044481;"death";80;"GSE7696";0,0730516033128053;NA;0,0756338633433605;NA;0,0709284167044481;NA
"KICH";"KICH";0,130674586338566;0,0681623931623932;"os";"kidney";65;NA;NA;NA;20501;"death";0,173406175308522;"death";65;"KICH";0,130674586338566;NA;0,0681623931623932;NA;0,173406175308522;NA
"GSE7378-breast";"GSE7378-breast";0,120778110303549;0,0624720107478728;"dfs";"breast";NA;54;NA;NA;12659;"relapse";0,106809922578606;"relapse";54;"GSE7378";NA;0,120778110303549;NA;0,0624720107478728;NA;0,106809922578606
"PAAD";"PAAD";0,0661858294442087;0,058974358974359;"os";"pancreas";30;NA;NA;NA;20501;"death";0,0679479049802449;"death";30;"PAAD";0,0661858294442087;NA;0,058974358974359;NA;0,0679479049802449;NA
"GSE19615-breast";"GSE19615-breast";0,0566999362922064;0,056295659647615;"dmfs";"breast";NA;NA;NA;115;19944;"relapse";0,0713314190720871;"relapse";115;"GSE19615";NA;0,0566999362922064;NA;0,056295659647615;NA;0,0713314190720871
"GSE13041-GPL96-glioblastoma";"GSE13041-GPL96-glioblastoma";0,0665667808219178;0,0556178515362189;"dss";"brain";NA;NA;191;NA;12496;"death";0,091949423815621;"death";191;"GSE13041-GPL96";0,0665667808219178;NA;0,0556178515362189;NA;0,091949423815621;NA
"LUSC";"LUSC";0,082308018667798;0,0521367521367521;"os";"lung";251;NA;NA;NA;20501;"death";0,0815082191112629;"death";251;"LUSC";0,082308018667798;NA;0,0521367521367521;NA;0,0815082191112629;NA
"GSE16581-meningioma";"GSE16581-meningioma";0,0541056651814131;0,0517757809157039;"os";"brain";67;NA;NA;NA;20027;"death";0,071952863634094;"death";67;"GSE16581";0,0541056651814131;NA;0,0517757809157039;NA;0,071952863634094;NA
"GSE19536-breast";"GSE19536-breast";0,0424268137462877;0,0511607910576096;"dss";"breast";98;NA;98;NA;19425;"death";0,037014157014157;"death";98;"GSE19536";0,0424268137462877;NA;0,0511607910576096;NA;0,037014157014157;NA
"GSE16432-GPL8652-leukemia";"GSE16432-GPL8652-leukemia";0,0465569510610654;0,0500902527075812;"os";"leukemia";50;NA;NA;NA;13070;"death";0,0480489671002295;"death";50;"GSE16432-GPL8652";0,0465569510610654;NA;0,0500902527075812;NA;0,0480489671002295;NA
"GSE16131-lymphoma";"GSE16131-lymphoma";0,0356837606837607;0,0495204104394379;"os";"lymphoma";180;NA;NA;NA;12714;"death";0,101777568035237;"death";180;"GSE16131";0,0356837606837607;NA;0,0495204104394379;NA;0,101777568035237;NA
"OV";"OV";0,043063215952482;0,0480769230769231;"os";"ovary";264;NA;NA;NA;20501;"death";0,0736549436612848;"death";264;"OV";0,043063215952482;NA;0,0480769230769231;NA;0,0736549436612848;NA
"GSE3149-ovary";"GSE3149-ovary";0,0281569965870307;0,0478415665331553;"dss";"ovary";NA;NA;122;NA;12913;"death";0,169751413304422;"death";122;"GSE3149";0,0281569965870307;NA;0,0478415665331553;NA;0,169751413304422;NA
